date,state,positive,negative,hospitalizedCurrently,inIcuCurrently,onVentilatorCurrently,death
2021-03-03,NJ,799476.0,10096351.0,1921.0,403.0,243.0,23449.0
2021-03-03,NM,185898.0,0.0,195.0,0.0,0.0,3753.0
2021-03-03,NV,294684.0,1122823.0,440.0,100.0,53.0,4987.0
2021-03-03,NY,1650184.0,0.0,5323.0,1047.0,735.0,38735.0
2021-03-03,OH,972605.0,0.0,1081.0,279.0,195.0,17189.0
2021-03-03,OK,425746.0,3116303.0,427.0,135.0,0.0,4534.0
2021-03-03,OR,156037.0,0.0,184.0,33.0,11.0,2225.0
2021-03-03,PA,938411.0,3906535.0,1648.0,357.0,186.0,24169.0
2021-03-03,PR,100765.0,305972.0,169.0,33.0,25.0,2048.0
2021-03-03,RI,127285.0,671542.0,147.0,23.0,14.0,2534.0
2021-03-03,SC,519996.0,4558148.0,706.0,190.0,86.0,8620.0
2021-03-03,SD,112833.0,311512.0,97.0,16.0,8.0,1893.0
2021-03-03,TN,777935.0,0.0,1033.0,259.0,140.0,11459.0
2021-03-03,TX,2663414.0,0.0,5508.0,1713.0,0.0,43563.0
2021-03-03,UT,372708.0,1545558.0,247.0,92.0,0.0,1955.0
2021-03-03,VA,580108.0,0.0,1352.0,284.0,184.0,9326.0
2021-03-03,VI,2695.0,45841.0,0.0,0.0,0.0,25.0
2021-03-03,VT,15487.0,317364.0,24.0,5.0,0.0,207.0
2021-03-03,WA,341441.0,0.0,467.0,131.0,64.0,4988.0
2021-03-03,WI,619087.0,2634999.0,267.0,69.0,0.0,7069.0
2021-03-03,WV,132416.0,0.0,197.0,60.0,25.0,2309.0
2021-03-03,WY,54616.0,181681.0,24.0,0.0,0.0,682.0
2021-03-02,AK,56428.0,0.0,26.0,0.0,6.0,302.0
2021-03-02,AL,494421.0,1908302.0,631.0,0.0,0.0,9991.0
2021-03-02,AR,322949.0,2448042.0,416.0,160.0,80.0,5254.0
2021-03-02,AS,0.0,2140.0,0.0,0.0,0.0,0.0
2021-03-02,AZ,818670.0,3007671.0,1202.0,385.0,203.0,16060.0
2021-03-02,CA,3481611.0,0.0,5302.0,1452.0,0.0,52497.0
2021-03-02,CO,430615.0,2178555.0,395.0,0.0,0.0,5959.0
2021-03-02,CT,283128.0,0.0,413.0,0.0,0.0,7658.0
2021-03-02,DC,40767.0,0.0,177.0,47.0,29.0,1019.0
2021-03-02,DE,87193.0,539891.0,151.0,18.0,0.0,1426.0
2021-03-02,FL,1882865.0,9225981.0,3674.0,0.0,0.0,31696.0
2021-03-02,GA,1011807.0,0.0,2348.0,0.0,0.0,17480.0
2021-03-02,GU,7742.0,111547.0,4.0,2.0,1.0,131.0
2021-03-02,HI,28390.0,0.0,31.0,6.0,3.0,439.0
2021-03-02,IA,280509.0,1036107.0,209.0,39.0,11.0,5498.0
2021-03-02,ID,171462.0,501356.0,121.0,32.0,0.0,1867.0
2021-03-02,IL,1189416.0,0.0,1231.0,281.0,148.0,22803.0
2021-03-02,IN,662750.0,2460279.0,765.0,123.0,64.0,12623.0
2021-03-02,KS,294302.0,964803.0,165.0,43.0,16.0,4743.0
2021-03-02,KY,406201.0,0.0,684.0,178.0,82.0,4671.0
2021-03-02,LA,431271.0,5177425.0,629.0,0.0,89.0,9647.0
2021-03-02,MA,582844.0,4362966.0,775.0,187.0,116.0,16182.0
2021-03-02,MD,383170.0,3006690.0,896.0,232.0,0.0,7905.0
2021-03-02,ME,44944.0,0.0,69.0,25.0,8.0,703.0
2021-03-02,MI,649057.0,0.0,959.0,228.0,99.0,16544.0
2021-03-02,MN,485655.0,3017033.0,243.0,57.0,0.0,6490.0
2021-03-02,MO,478682.0,1862141.0,1025.0,213.0,141.0,7932.0
2021-03-02,MP,143.0,17429.0,0.0,0.0,0.0,2.0
2021-03-02,MS,295295.0,1459374.0,457.0,109.0,69.0,6724.0
2021-03-02,MT,100158.0,0.0,83.0,20.0,7.0,1372.0
2021-03-02,NC,863409.0,0.0,1353.0,334.0,0.0,11288.0
2021-03-02,ND,99957.0,305430.0,24.0,3.0,0.0,1477.0
2021-03-02,NE,201346.0,765676.0,154.0,0.0,0.0,2084.0
2021-03-02,NH,75803.0,576072.0,88.0,0.0,0.0,1170.0
2021-03-02,NJ,795785.0,9983526.0,1915.0,395.0,228.0,23321.0
2021-03-02,NM,185542.0,0.0,199.0,0.0,0.0,3740.0
2021-03-02,NV,294289.0,1120242.0,459.0,108.0,53.0,4967.0
2021-03-02,NY,1642480.0,0.0,5369.0,1076.0,747.0,38660.0
2021-03-02,OH,970583.0,0.0,1131.0,295.0,207.0,17189.0
2021-03-02,OK,424999.0,3100280.0,447.0,134.0,0.0,4534.0
2021-03-02,OR,155787.0,0.0,158.0,33.0,13.0,2212.0
2021-03-02,PA,935834.0,3898167.0,1670.0,354.0,190.0,24100.0
2021-03-02,PR,100735.0,305972.0,162.0,23.0,24.0,2040.0
2021-03-02,RI,126849.0,670284.0,157.0,25.0,17.0,2525.0
2021-03-02,SC,518823.0,4549598.0,706.0,190.0,86.0,8576.0
2021-03-02,SD,112652.0,310811.0,92.0,13.0,10.0,1888.0
2021-03-02,TN,776337.0,0.0,991.0,256.0,133.0,11436.0
2021-03-02,TX,2655592.0,0.0,5644.0,1728.0,0.0,43266.0
2021-03-02,UT,371979.0,1541145.0,237.0,92.0,0.0,1949.0
2021-03-02,VA,578559.0,0.0,1345.0,305.0,200.0,8943.0
2021-03-02,VI,2646.0,45225.0,0.0,0.0,0.0,25.0
2021-03-02,VT,15372.0,317005.0,24.0,7.0,0.0,206.0
2021-03-02,WA,340708.0,0.0,473.0,125.0,61.0,4969.0
2021-03-02,WI,618307.0,2631712.0,275.0,71.0,0.0,7050.0
2021-03-02,WV,132184.0,0.0,210.0,61.0,28.0,2301.0
2021-03-02,WY,54527.0,181403.0,24.0,0.0,0.0,682.0
2021-03-01,AK,56339.0,0.0,25.0,0.0,5.0,300.0
2021-03-01,AL,493769.0,1905141.0,651.0,0.0,0.0,9931.0
2021-03-01,AR,322509.0,2444369.0,441.0,173.0,84.0,5250.0
2021-03-01,AS,0.0,2140.0,0.0,0.0,0.0,0.0
2021-03-01,AZ,817821.0,3002212.0,1241.0,382.0,196.0,15979.0
2021-03-01,CA,3479078.0,0.0,5409.0,1518.0,0.0,52194.0
2021-03-01,CO,429839.0,2175502.0,427.0,0.0,0.0,5952.0
2021-03-01,CT,282626.0,0.0,417.0,0.0,0.0,7651.0
2021-03-01,DC,40684.0,0.0,168.0,46.0,25.0,1019.0
2021-03-01,DE,87080.0,539551.0,151.0,23.0,0.0,1422.0
2021-03-01,FL,1875818.0,9192789.0,3686.0,0.0,0.0,31556.0
2021-03-01,GA,1008660.0,0.0,2348.0,0.0,0.0,17376.0
2021-03-01,GU,7737.0,109867.0,3.0,2.0,1.0,131.0
2021-03-01,HI,28355.0,0.0,31.0,3.0,3.0,439.0
2021-03-01,IA,280279.0,1035119.0,197.0,48.0,15.0,5472.0
2021-03-01,ID,171140.0,500096.0,162.0,35.0,0.0,1860.0
2021-03-01,IL,1187839.0,0.0,1288.0,308.0,148.0,22759.0
2021-03-01,IN,662213.0,2457982.0,763.0,124.0,66.0,12595.0
2021-03-01,KS,294302.0,964803.0,165.0,43.0,16.0,4743.0
2021-03-01,KY,405126.0,0.0,719.0,180.0,82.0,4652.0
2021-03-01,LA,430504.0,5155000.0,629.0,0.0,91.0,9628.0
2021-03-01,MA,582543.0,4355357.0,788.0,184.0,119.0,16144.0
2021-03-01,MD,382702.0,3003717.0,904.0,235.0,0.0,7879.0
2021-03-01,ME,44762.0,0.0,62.0,20.0,8.0,703.0
2021-03-01,MI,647415.0,0.0,893.0,226.0,103.0,16519.0
2021-03-01,MN,485230.0,3015197.0,230.0,47.0,0.0,6486.0
2021-03-01,MO,478416.0,1859688.0,1066.0,212.0,125.0,7919.0
2021-03-01,MP,143.0,17429.0,0.0,0.0,0.0,2.0
2021-03-01,MS,294994.0,1459374.0,455.0,111.0,65.0,6681.0
2021-03-01,MT,100003.0,0.0,68.0,13.0,6.0,1357.0
2021-03-01,NC,862170.0,0.0,1319.0,333.0,0.0,11254.0
2021-03-01,ND,99852.0,305019.0,25.0,3.0,0.0,1475.0
2021-03-01,NE,200946.0,764460.0,158.0,0.0,0.0,2082.0
2021-03-01,NH,75588.0,575922.0,90.0,0.0,0.0,1170.0
